,date,username,tweet,hashtags
0,2022-12-30 06:39:08,SiputLpg,Mantull KUHP The best #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/k8PfUgDQ7V,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
1,2022-12-30 06:39:06,SiputLpg,KUHP baru menjaga demokrasi yang sehat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/WorTSZoQ8J,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
2,2022-12-30 06:38:10,SiputLpg,Tidak mudah merevisi RUU KUHP :) #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/A5GiRPs2Br,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
3,2022-12-30 06:38:09,SiputLpg,KUHP baru menjaga demokrasi yang sehat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Mvc91VFpHL,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
4,2022-12-30 06:38:07,SiputLpg,Rakyat mendukung KUHP baru #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/3sSqgXnmm8,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
5,2022-12-30 06:38:05,SiputLpg,Hebatnya KUHP merupakan dasar hukum modern milik Indonesia yang tidak dapat diintervensi oleh negara manapun #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/2bPsGNPsyr,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
6,2022-12-30 06:38:04,SiputLpg,RUU KUHP memajukan Indonesia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/EBFsshj8Xy,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
7,2022-12-30 06:38:01,SiputLpg,Mantull KUHP The best #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/sjvEbtx1L0,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
8,2022-12-30 06:37:30,FauziyahAzalia,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  blackpink Treasure taetae hanbin Teddy Daisy Rest in Peace RIP Legend Ini YG The Black Label Witan Greta Thunberg #TAEHYUNGDAY #JOSHUA #HALAZIA  https://t.co/TVnPHDsbfl","['taehyungday', 'joshua', 'halazia']"
9,2022-12-30 06:37:11,SiputLpg,Rakyat mendukung KUHP baru #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/4wGD2Bp30X,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
10,2022-12-30 06:37:10,SiputLpg,Hebatnya KUHP merupakan dasar hukum modern milik Indonesia yang tidak dapat diintervensi oleh negara manapun #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/DDXYi6p1i6,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
11,2022-12-30 06:37:08,SiputLpg,KUHP baru menjaga demokrasi yang sehat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/DQGRryuTxL,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
12,2022-12-30 06:37:07,SiputLpg,Tidak mudah merevisi RUU KUHP :) #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Vs26SjG7KG,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
13,2022-12-30 06:37:06,SiputLpg,KUHP baru memiliki keunggulan muatan keseimbangan #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/MagoY8ehTP,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
14,2022-12-30 06:37:05,SiputLpg,Mantull KUHP The best #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/XPnHrf7YS0,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
15,2022-12-30 06:36:29,ketaniireng,@tissuebekass Bahas KUHP terbaru,[]
16,2022-12-30 06:36:04,SiputLpg,Rakyat mendukung KUHP baru #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/OrdEMPb6Ix,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
17,2022-12-30 06:36:03,SiputLpg,RUU KUHP memajukan Indonesia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/4UedJZOHrP,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
18,2022-12-30 06:36:03,SiputLpg,KUHP baru menjaga demokrasi yang sehat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/4hmjLHoLBa,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
19,2022-12-30 06:36:02,SiputLpg,Tidak mudah merevisi RUU KUHP :) #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/N9YeMmFnfT,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
20,2022-12-30 06:36:02,SiputLpg,Mantull KUHP The best #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/ZvJ97YBSZ5,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
21,2022-12-30 06:36:02,SiputLpg,Hebatnya KUHP merupakan dasar hukum modern milik Indonesia yang tidak dapat diintervensi oleh negara manapun #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/SXPmIIquVo,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
22,2022-12-30 06:35:23,yanT0_boges,Dukung Pengesahan KUHP #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/ByGeUD3qWy,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
23,2022-12-30 06:35:23,yanT0_boges,Revisi KUHP lebih baik. #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/uUPBa2aO0w,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
24,2022-12-30 06:35:22,yanT0_boges,KUHP untuk masyarakat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/rR769fgUiV,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
25,2022-12-30 06:35:21,yanT0_boges,Pengesahan KUHP terbaru demi wujdukan manifestasi reformasi hukum! KAMI HADIR MENDUKUNG #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/AwbStNvKbI,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
