,date,username,tweet,hashtags
0,2022-12-30 02:10:59,bdst_jk,- Pasal 368 KUHP  https://t.co/WbA55fYu8x,[]
1,2022-12-30 02:04:39,jinninmixx1,"@BangDhany06 @susipudjiastuti Pencegahan itu di DPR dg bikin Hukuman mati koruptor dan miskinkan, atau denda misal korupsi 10 milyar dendanya 100 milyar klo ngk mampu bayar sita semua hartanya masih blm nutup hukum mati, RUU KUHP yg baru aja koruptor hanya 10 bulan 🤣🤣, jd mmg pemerintah dan DPR tidak niat",[]
2,2022-12-30 02:03:26,ataupah_frenky,KUHP baru beri jaminan kebebasan beragama dan berkeyakinan. #SaveKPK #BerantasKorupsi #HukumdanKeadilan #IndonesiaBebasKorupsi  https://t.co/WYBsILsle4,"['savekpk', 'berantaskorupsi', 'hukumdankeadilan', 'indonesiabebaskorupsi']"
3,2022-12-30 02:01:47,MSNindonesia,"Kaleidoskop 2022: Isu Pariwisata yang Menghebohkan, dari Tiket Naik hingga KUHP Baru  https://t.co/2SyGCfuNdH",[]
4,2022-12-30 01:53:06,AbuHaqy,PASAL PERZINAAN KUHP BUKA LEBAR GERBANG AMORALITAS  Follow 👇👇👇  @bima_kaffah @bima_kaffah @bima_kaffah  #MariBerislamKaffah #JumatPenuhBerkah  https://t.co/4VBqPDBDmB,"['mariberislamkaffah', 'jumatpenuhberkah']"
5,2022-12-30 01:49:34,gusti_hadyan,@Kinan_Waski Dukung UU KUHP baru 😊😊,[]
6,2022-12-30 01:49:14,bapasjakbar_dki,"upaya musyawarah diversi di terhadap Anak disangkakan Pasal 2 Ayat (1) UU Drt No.12 Tahun 1951 Jo. Pasal 358 Jo. Pasal 55 ayat (1) KUHP di Polsek Palmerah   Hasil kesepakatan berupa ""Pelayanan Masyarakat di lingkungan Anak selama 3 bulan dan   pembimbingan di Bapas selama 3 bulan  https://t.co/1LWICcYmV1",[]
7,2022-12-30 01:45:32,AyahnyaHarits,PASAL PERZINAAN KUHP BUKA LEBAR GERBANG AMORALITAS  Follow 👇👇👇  @bima_kaffah @bima_kaffah @bima_kaffah  #MariBerislamKaffah #JumatPenuhBerkah  https://t.co/Ff8phAW0I7,"['mariberislamkaffah', 'jumatpenuhberkah']"
8,2022-12-30 01:44:19,debora_livana,@Kinan_Waski KUHP baru untuk sistem hukum Indonesia yang lebih baik ✊👍,[]
9,2022-12-30 01:34:14,Akomeng6,@Bank_Aconk KUHP🇮🇩👍,[]
10,2022-12-30 01:33:30,scrrrgrl,kayak pasal 184 ayat (2) KUHP :v,[]
11,2022-12-30 01:33:03,tempodotco,"Kaleidoskop 2022: Isu Pariwisata yang Menghebohkan, dari Tiket Naik hingga KUHP Baru  https://t.co/yRnoabNFPq #TempoTravel",['tempotravel']
12,2022-12-30 01:29:39,Honkidesuyo11,@Kinan_Waski KUHP bawa perubahan paradigma hukum modern,[]
13,2022-12-30 01:28:12,Trahkartasura2,@ajies4ra Pasal pencurian dengan pemberatan Pasal 363 KUHP. Diancam dengan pidana penjara paling lama tujuh tahun,[]
14,2022-12-30 01:16:29,Abumush42376994,PASAL PERZINAAN KUHP BUKA LEBAR GERBANG AMORALITAS  Follow 👇👇👇  @bima_kaffah @bima_kaffah @bima_kaffah  #MariBerislamKaffah #JumatPenuhBerkah  https://t.co/Xao7Cxw4s6,"['mariberislamkaffah', 'jumatpenuhberkah']"
15,2022-12-30 01:15:31,kuhp,ロイストさんの新刊ですが、「委託って何部あれば大丈夫？」「分からん…」「我々は何も分からんままイベントに出ている…」「分からん…」「とりあえず余るくらい入れとこか…」なノリで搬入したのですが、もしかするとすぐ無くなるかもしれないので確実に欲しい方はお早めにどうぞ。何も分からん…,[]
16,2022-12-30 01:14:19,pildun2026,"tolong @ListyoSigitP @Puspen_TNI @DPR_RI KUHP untuk anak dibawah umur segera di buat. Mereka (para begal) tau, kalau dibawah 17th ngga bisa di pidana, atau harus nunggu korban dan viral dulu? yang bokep bokep urus belakangan lah,, makasih, still respect.  #kapolri #tni #polisi","['kapolri', 'tni', 'polisi']"
17,2022-12-30 01:13:26,raniarianiii,KUHP Terbaik sudah disahkan mantap #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/Rac9MAjXYX,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
18,2022-12-30 01:11:31,pixieparasols,"@pweIuk @collegemenfess Fyi, yang buka jasa esek esek walaupun ada konsen ttp bisa dipidana menurut kuhp baru kalau ada yang melaporkan.   Kalau tanpa konsen jadinya kekerasan/pelecehan seksual payung hukumnya bukan kuhp baru tapi uutpks.",[]
19,2022-12-30 01:08:12,Akomeng6,@Anggita_lung KUHP🇮🇩👍,[]
20,2022-12-30 01:07:13,LahamudinNur,"@Budiarto6575 @henrysubiakto Dasarnya apa mas klo al quran surat apa ayat brp, klo Hadist riwayat siapa, kalo KUHP pasal brp...jadi buat narasi tdk hanya asal nulis..harus ada yg mndasari supaya tdk dianggab asbun...",[]
21,2022-12-30 01:01:56,Akomeng6,PBNU dukung pengesahan UU KUHP. Kitab Hukum Pidana KUHP ini untuk melindung moral bangsa Indonesia.  Sebelumnya pemerintah juga sudah membuka ruang diskusi agar dapat lebih banyak mendengarkan masukan masyarakat terhadap RKUHP dan hasilnya kini sudah di sahkan.👍  https://t.co/EEs7vPnG58,[]
22,2022-12-30 01:01:32,Bank_Aconk,"Perubahan KUHP, Wujudkan Negara Hukum yang Demokratis  DPR RI bersama Pemerintah berupaya menjembatani berbagai perbedaan sudut pandang dalam membentuk UU, Oleh sebab itu, penetapan RUU KUHP menjadi UU adalah langkah besar dalam mewujudkan negara hukum yang demokratis.  https://t.co/Lf5eQI3aYt",[]
23,2022-12-30 00:51:12,Revenge00810455,"DPR RI bersama Pemerintah berupaya menjembatani berbagai perbedaan sudut pandang, apabila KUHP belum dapat menyamakan seluruh pandangan rakyat Indonesia yang majemuk, masih terdapat jalan konstitusional untuk mengujinya.  Itulah demokratis.   https://t.co/l4YZYqcPKa  https://t.co/s44zAtRgeD",[]
24,2022-12-30 00:49:54,garuda080,NU mendukung pengesahan KUHP baru untuk mengisi kekosongan substansi produk hukum sebelumnya sehingga berkedudukan untuk menyempurnakan hukum kenegaraan demi menjamin perlindungan hukum bagi masyarakat juga melindungi moral bangsa Indonesia.  https://t.co/QYK2mcmNeY,[]
25,2022-12-30 00:42:09,hansanze,bro be ga percaya al quran tp percaya kuhp🤣,[]
26,2022-12-30 00:31:59,AdityaKusyandi,@WKiwari Dukung KUHP,[]
27,2022-12-30 00:31:34,AdityaKusyandi,@CempakaNews Dukung KUHP,[]
28,2022-12-30 00:30:12,robby_karman,@mohammadapin @unmagnetism Sebenarnya yang kayak gitu udah bukan aib sih bro. Tapi dah kriminal masuknya. Bisa dituntut pakai KUHP juga. Cuma si cewek terlalu baik masih ga bawa ibunya ke kasus hukum.,[]
29,2022-12-30 00:23:03,Adm61481192,Orang minim ilmu yg menghubungkan org pergi ketempat hiburan di hubungkan kasus di sangkakan PASAL 340 DAN 338 KUHP .TDK ADA HUBUNGANNYA .YG MENGUHUNGKAN ADALAH ORG SESAT ALIRAN KEPERCAYAAN,[]
30,2022-12-29 23:49:59,Anggita_lung,"DPR RI bersama Pemerintah Indonesia sudah melakukan diskusi mengenai perubahan KUHP sejak tahun 1963. Perubahan ini bernilai penting, mengingat kondisi dan situasi di Indonesia sudah cukup signifikan berbeda dibandingkan masa kemerdekaan.",[]
31,2022-12-29 23:49:58,Anggita_lung,RUU KUHP merupakan upaya rekodifikasi terbuka terhadap seluruh ketentuan pidana dan menjawab perkembangan yang ada di masyarakat saat ini.  Penetapan RUU KUHP menjadi UU merupakan langkah besar  dalam melakukan reformasi hukum pidana dalam kerangka negara hukum yang demokratis.  https://t.co/08mvoORz9w,[]
32,2022-12-29 23:41:55,Adm61481192,Apa hubungan nya org pergi klub malam .80% org indonesia sudah mencoba masuk ke lokasi klup malam . Ada ada saja alasan yg tdk berdasar dan tdk punya ada hubungan dgn kasus .340 dan 338 kuhp .rakyat jgn kalian bodohi cara pandang nya .,[]
